sample_id,ultra_blue,blue,green,red,nir,swir1,swir2
asphalt_road,0.06762809,0.07304727,0.08817541,0.10319781,0.12662339,0.19504969,0.21380327
blue_spruce_needles,0.08565181,0.08363279,0.10389397,0.06566686,0.39777603,0.09535801,0.03491381
pale_brown_silty_loam,0.05784735,0.09338541,0.19296872,0.28350073,0.36778876,0.48420683,0.45431537
tap_water,0.02864019,0.02791125,0.02698539,0.02651572,0.0261744,0.02099513,0.01889212
