sample_id,blue,green,red,nir,swir1,swir2
asphalt_road,0.07083373,0.08644449,0.1022167,0.12604066,0.19707514,0.22393237
blue_spruce_needles,0.0843571,0.11020178,0.06843945,0.39754294,0.10288651,0.02983579
pale_brown_silty_loam,0.07816032,0.18111461,0.27784084,0.36727782,0.48611547,0.46800331
tap_water,0.02881271,0.02699479,0.026501,0.02601134,0.02122891,0.01950426
