band_id,segment,reflectance
ultra_blue,vnir,0.06727888756677497
blue,vnir,0.09221294518111388
green,vnir,0.19198474094969034
red,vnir,0.28735157456888394
nir,vnir,0.35874260436133654
swir1,swir,0.4836383365988389
swir2,swir,0.4547474300553403
