wavelength_nm,reflectance
400,0.05834603309631348
401,0.05834726616740227
402,0.058348625898361206
403,0.0583500973880291
404,0.058351706713438034
405,0.05835346505045891
406,0.05835537239909172
407,0.05835745111107826
408,0.058359723538160324
409,0.05836218595504761
410,0.0583648681640625
411,0.05836779251694679
412,0.058370959013700485
413,0.05837440490722656
414,0.05837814509868622
415,0.05838220193982124
416,0.05838659778237343
417,0.058391373604536057
418,0.05839654430747032
419,0.05840214714407921
420,0.0584082156419754
421,0.05841478332877159
422,0.058421891182661057
423,0.05842958018183708
424,0.058437883853912354
425,0.058446865528821945
426,0.058456551283597946
427,0.058467019349336624
428,0.05847831442952156
429,0.05849049985408783
430,0.058503638952970505
431,0.05851779505610466
432,0.058533042669296265
433,0.05854946747422218
434,0.05856715142726898
435,0.05858616903424263
436,0.058606624603271484
437,0.058628614991903305
438,0.05865224823355675
439,0.05867762863636017
440,0.05870487913489342
441,0.05873410403728485
442,0.0587654709815979
443,0.05879909172654152
444,0.05883512273430824
445,0.058873724192380905
446,0.058915045112371445
447,0.05895926430821419
448,0.059006571769714355
449,0.059057142585515976
450,0.059111181646585464
451,0.05916890501976013
452,0.05923052504658699
453,0.05929627642035484
454,0.05936639383435249
455,0.05944114550948143
456,0.059520769864320755
457,0.05960555747151375
458,0.059695784002542496
459,0.059791747480630875
460,0.05989375710487366
461,0.06000213325023651
462,0.0601172037422657
463,0.06023929640650749
464,0.06036878749728203
465,0.06050601974129677
466,0.060651376843452454
467,0.06080523133277893
468,0.060967981815338135
469,0.0611400306224823
470,0.061321768909692764
471,0.06151363253593445
472,0.06171603500843048
473,0.061929404735565186
474,0.062154170125722885
475,0.0623907744884491
476,0.06263964623212814
477,0.06290122121572495
478,0.06317595392465591
479,0.06346424669027328
480,0.06376654654741287
481,0.0640832856297493
482,0.0644148662686348
483,0.0647616907954216
484,0.06512415409088135
485,0.06550262868404388
486,0.06589747220277786
487,0.06630902737379074
488,0.066737599670887
489,0.0671834871172905
490,0.06764695793390274
491,0.06812823563814163
492,0.0686275064945221
493,0.06914495676755905
494,0.06968069076538086
495,0.07023479789495468
496,0.0708073079586029
497,0.07139820605516434
498,0.0720074400305748
499,0.07263488322496414
500,0.07328037172555923
501,0.07394367456436157
502,0.07462450116872787
503,0.07532250136137009
504,0.07603726536035538
505,0.07676830142736435
506,0.07751507312059402
507,0.07827696949243546
508,0.07905329018831253
509,0.07984329760074615
510,0.08064614981412888
511,0.08146098256111145
512,0.08228680491447449
513,0.0831226110458374
514,0.08396727591753006
515,0.08481965214014053
516,0.08567851036787033
517,0.08654254674911499
518,0.08741042762994766
519,0.08828073740005493
520,0.089152030646801
521,0.09002277255058289
522,0.09089142829179764
523,0.0917564108967781
524,0.09261607378721237
525,0.09346876293420792
526,0.09431280940771103
527,0.09514648467302322
528,0.0959680899977684
529,0.09677588194608688
530,0.09756814688444138
531,0.09834316372871399
532,0.09909921139478683
533,0.0998346209526062
534,0.10054770857095718
535,0.10123685747385025
536,0.10190048068761826
537,0.10253699868917465
538,0.10314494371414185
539,0.10372287034988403
540,0.10426940768957138
541,0.10478323698043823
542,0.10526315122842789
543,0.10570801049470901
544,0.10611674189567566
545,0.10648837685585022
546,0.10682205110788345
547,0.10711697489023209
548,0.10737251490354538
549,0.10758805274963379
550,0.10776317119598389
551,0.10789749026298523
552,0.10799077898263931
553,0.10804291814565659
554,0.10805388540029526
555,0.1080237552523613
556,0.10795274376869202
557,0.10784116387367249
558,0.10768943279981613
559,0.10749807953834534
560,0.10726771503686905
561,0.10699906200170517
562,0.10669294744729996
563,0.10635028034448624
564,0.10597202926874161
565,0.10555931180715561
566,0.10511323064565659
567,0.10463502258062363
568,0.10412599891424179
569,0.10358744859695435
570,0.10302082449197769
571,0.10242751985788345
572,0.1018090471625328
573,0.10116690397262573
574,0.1005026325583458
575,0.09981780499219894
576,0.09911397844552994
577,0.09839274734258652
578,0.09765569120645523
579,0.09690439701080322
580,0.09614040702581406
581,0.09536529332399368
582,0.09458056837320328
583,0.09378775209188461
584,0.09298828989267349
585,0.09218361973762512
586,0.09137511998414993
587,0.09056413173675537
588,0.0897519513964653
589,0.08893978595733643
590,0.08812883496284485
591,0.08732018619775772
592,0.0865149199962616
593,0.08571398258209229
594,0.0849182978272438
595,0.0841287150979042
596,0.08334598690271378
597,0.08257081359624863
598,0.0818038061261177
599,0.08104552328586578
600,0.08029641211032867
601,0.0795568898320198
602,0.07882725447416306
603,0.07810777425765991
604,0.07739859819412231
605,0.07669983059167862
606,0.07601150870323181
607,0.0753336027264595
608,0.07466600835323334
609,0.07400854676961899
610,0.07336102426052094
611,0.0727231577038765
612,0.0720946192741394
613,0.0714750587940216
614,0.07086405158042908
615,0.07026117295026779
616,0.06966594606637955
617,0.06907788664102554
618,0.068496473133564
619,0.0679212212562561
620,0.06735160201787949
621,0.06678712368011475
622,0.06622729450464249
623,0.0656716600060463
624,0.06511981040239334
625,0.06457134336233139
626,0.06402596086263657
627,0.06348339468240738
628,0.0629434660077095
629,0.062406063079833984
630,0.06187118589878082
631,0.06133893504738808
632,0.06080951169133186
633,0.06028325855731964
634,0.059760626405477524
635,0.05924220755696297
636,0.05872875824570656
637,0.05822116509079933
638,0.05772046744823456
639,0.05722789093852043
640,0.05674480274319649
641,0.05627274140715599
642,0.055813420563936234
643,0.055368710309267044
644,0.05494067072868347
645,0.05453147366642952
646,0.0541435070335865
647,0.05377928540110588
648,0.05344146490097046
649,0.053132835775613785
650,0.052856337279081345
651,0.052615001797676086
652,0.052411999553442
653,0.05225054547190666
654,0.05213397368788719
655,0.052065659314394
656,0.05204903706908226
657,0.05208757892251015
658,0.052184756845235825
659,0.05234406515955925
660,0.05256897211074829
661,0.052862927317619324
662,0.05322931706905365
663,0.053671497851610184
664,0.054192736744880676
665,0.05479621887207031
666,0.05548505485057831
667,0.056262221187353134
668,0.0571306012570858
669,0.05809295177459717
670,0.05915191397070885
671,0.060309991240501404
672,0.061569541692733765
673,0.0629328116774559
674,0.06440189480781555
675,0.0659787505865097
676,0.0676652118563652
677,0.06946297734975815
678,0.07137361913919449
679,0.07339857518672943
680,0.07553914934396744
681,0.077796570956707
682,0.08017189055681229
683,0.08266612142324448
684,0.08528009057044983
685,0.08801454305648804
686,0.09087013453245163
687,0.0938473641872406
688,0.09694664925336838
689,0.10016825795173645
690,0.10351233929395676
691,0.1069788932800293
692,0.11056777834892273
693,0.1142786517739296
694,0.11811104416847229
695,0.12206423282623291
696,0.12613728642463684
697,0.13032905757427216
698,0.13463811576366425
699,0.13906274735927582
700,0.1436009258031845
701,0.1482502967119217
702,0.15300820767879486
703,0.1578715294599533
704,0.16283681988716125
705,0.16790024936199188
706,0.17305751144886017
707,0.17830394208431244
708,0.18363435566425323
709,0.18904326856136322
710,0.19452466070652008
711,0.20007218420505524
712,0.2056790590286255
713,0.2113381177186966
714,0.21704190969467163
715,0.22278262674808502
716,0.2285522222518921
717,0.23434238135814667
718,0.24014468491077423
719,0.24595052003860474
720,0.25175121426582336
721,0.2575381100177765
722,0.2633025646209717
723,0.26903602480888367
724,0.27473005652427673
725,0.28037652373313904
726,0.28596749901771545
727,0.29149532318115234
728,0.2969527244567871
729,0.3023328483104706
730,0.30762919783592224
731,0.3128357529640198
732,0.31794700026512146
733,0.3229579031467438
734,0.3278639316558838
