band_id,segment,reflectance
ultra_blue,vnir,0.06680600760369387
blue,vnir,0.07301201305518926
green,vnir,0.10413857754290655
red,vnir,0.06758630204399477
nir,vnir,0.3974324765266248
swir1,swir,0.09369295143646969
swir2,swir,0.03228038303545778
