wavelength_nm,reflectance
400,0.10097148269414902
401,0.10103911906480789
402,0.10110791772603989
403,0.1011778935790062
404,0.1012490913271904
405,0.10132152587175369
406,0.10139522701501846
407,0.10147023946046829
408,0.10154658555984497
409,0.1016242727637291
410,0.10170334577560425
411,0.10178383439779282
412,0.1018657311797142
413,0.10194908827543259
414,0.10203390568494797
415,0.10212019830942154
416,0.10220801085233688
417,0.10229731351137161
418,0.10238814353942871
419,0.10248049348592758
420,0.10257437825202942
421,0.10266979783773422
422,0.10276675224304199
423,0.10286521166563034
424,0.10296519845724106
425,0.10306668281555176
426,0.10316965728998184
427,0.10327409952878952
428,0.103379987180233
429,0.1034872829914093
430,0.10359596461057663
431,0.1037060022354126
432,0.10381734371185303
433,0.10392994433641434
434,0.10404377430677414
435,0.10415875911712646
436,0.10427484661340714
437,0.10439199209213257
438,0.1045101061463356
439,0.10462913662195206
440,0.10474900156259537
441,0.10486964136362076
442,0.10499095916748047
443,0.10511287301778793
444,0.1052352786064148
445,0.10535812377929688
446,0.10548128932714462
447,0.10560467094182968
448,0.10572818666696548
449,0.10585173219442368
450,0.1059751883149147
451,0.106098473072052
452,0.10622145980596542
453,0.1063440665602684
454,0.1064661517739296
455,0.10658761858940125
456,0.10670837014913559
457,0.10682827234268188
458,0.10694722086191177
459,0.10706514120101929
460,0.10718189924955368
461,0.107297383248806
462,0.10741150379180908
463,0.10752415657043457
464,0.10763523727655411
465,0.10774466395378113
466,0.10785233974456787
467,0.10795816779136658
468,0.10806208848953247
469,0.1081639900803566
470,0.10826382786035538
471,0.10836151242256165
472,0.10845699161291122
473,0.10855019837617874
474,0.10864108800888062
475,0.10872960090637207
476,0.10881570726633072
477,0.10889936238527298
478,0.10898055881261826
479,0.10905923694372177
480,0.10913541913032532
481,0.10920906066894531
482,0.10928019136190414
483,0.10934879630804062
484,0.10941489785909653
485,0.10947848111391068
486,0.10953960567712784
487,0.10959828644990921
488,0.10965455323457718
489,0.10970846563577652
490,0.10976004600524902
491,0.10980936139822006
492,0.10985644906759262
493,0.10990139842033386
494,0.10994426161050797
495,0.1099851131439209
496,0.11002402752637863
497,0.11006107181310654
498,0.11009635776281357
499,0.1101299449801445
500,0.1101619303226471
501,0.11019241064786911
502,0.11022146791219711
503,0.11024919897317886
504,0.11027570813894272
505,0.11030107736587524
506,0.11032542586326599
507,0.11034882813692093
508,0.1103714108467102
509,0.110393226146698
510,0.11041442304849625
511,0.11043504625558853
512,0.1104552373290062
513,0.11047506332397461
514,0.11049460619688034
515,0.11051396280527115
516,0.1105332151055336
517,0.11055246740579605
518,0.11057177931070328
519,0.11059121042490005
520,0.11061087995767593
521,0.1106308177113533
522,0.11065111309289932
523,0.11067181080579758
524,0.11069297790527344
525,0.11071465164422989
526,0.1107369139790535
527,0.11075979471206665
528,0.11078333854675293
529,0.11080757528543472
530,0.11083254963159561
531,0.11085828393697739
532,0.11088480800390244
533,0.11091213673353195
534,0.11094029992818832
535,0.11096928268671036
536,0.11099912971258163
537,0.11102984100580215
538,0.11106140166521072
539,0.11109384149312973
540,0.11112711578607559
541,0.1111612319946289
542,0.11119621247053146
543,0.11123200505971909
544,0.11126860231161118
545,0.11130598932504654
546,0.11134415864944458
547,0.11138305813074112
548,0.11142269521951675
549,0.11146301031112671
550,0.11150401830673218
551,0.11154564470052719
552,0.11158788204193115
553,0.11163070052862167
554,0.11167404800653458
555,0.11171790212392807
556,0.11176222562789917
557,0.11180698871612549
558,0.11185213923454285
559,0.11189764738082886
560,0.11194348335266113
561,0.1119895949959755
562,0.11203595250844955
563,0.11208253353834152
564,0.11212927103042603
565,0.11217614263296127
566,0.11222311109304428
567,0.11227014660835266
568,0.11231721192598343
569,0.1123642548918724
570,0.1124112606048584
571,0.11245819181203842
572,0.11250501126050949
573,0.11255168914794922
574,0.11259818077087402
575,0.11264447122812271
576,0.1126905307173729
577,0.11273632198572159
578,0.112781822681427
579,0.11282700300216675
580,0.11287184804677963
581,0.11291631311178207
582,0.11296039819717407
583,0.11300405114889145
584,0.1130472719669342
585,0.11309003829956055
586,0.11313232034444809
587,0.11317410320043564
588,0.1132153645157814
589,0.11325611919164658
590,0.11329629272222519
591,0.11333591490983963
592,0.11337495595216751
593,0.11341340094804764
594,0.11345124244689941
595,0.11348847299814224
596,0.11352506279945374
597,0.11356101185083389
598,0.11359632015228271
599,0.11363097280263901
600,0.11366494745016098
601,0.11369824409484863
602,0.11373087763786316
603,0.11376281827688217
604,0.11379405856132507
605,0.11382460594177246
606,0.11385444551706314
607,0.11388357728719711
608,0.11391200870275497
609,0.11393972486257553
610,0.11396671086549759
611,0.11399299651384354
612,0.11401855945587158
613,0.11404340714216232
614,0.11406751722097397
615,0.1140909194946289
616,0.11411359906196594
617,0.11413554102182388
618,0.11415679007768631
619,0.11417730897665024
620,0.11419711261987686
621,0.11421618610620499
622,0.1142345666885376
623,0.1142522320151329
624,0.11426917463541031
625,0.1142854318022728
626,0.11430096626281738
627,0.11431580781936646
628,0.11432995647192001
629,0.11434340476989746
630,0.11435618251562119
631,0.1143682524561882
632,0.1143796443939209
633,0.11439036577939987
634,0.11440040916204453
635,0.11440978199243546
636,0.11441850662231445
637,0.11442657560110092
638,0.11443396657705307
639,0.11444071680307388
640,0.11444682627916336
641,0.1144523024559021
642,0.1144571304321289
643,0.11446133255958557
644,0.1144649088382721
645,0.11446788161993027
646,0.1144702211022377
647,0.11447194963693619
648,0.11447308212518692
649,0.1144736185669899
650,0.11447355896234512
651,0.1144729033112526
652,0.1144716739654541
653,0.11446986347436905
654,0.11446747928857803
655,0.11446452140808105
656,0.11446099728345871
657,0.1144568994641304
658,0.11445226520299911
659,0.11444706469774246
660,0.11444131284952164
661,0.11443503946065903
662,0.11442819982767105
663,0.1144208312034607
664,0.11441292613744736
665,0.11440447717905045
666,0.11439552158117294
667,0.11438602209091187
668,0.1143760085105896
669,0.11436548084020615
670,0.11435440927743912
671,0.1143428310751915
672,0.1143307313323021
673,0.1143181324005127
674,0.11430499702692032
675,0.11429134756326675
676,0.114277184009552
677,0.11426251381635666
678,0.11424732208251953
679,0.11423160880804062
680,0.11421537399291992
681,0.11419862508773804
682,0.11418136209249496
683,0.11416355520486832
684,0.11414522677659988
685,0.11412637680768967
686,0.11410697549581528
687,0.1140870451927185
688,0.11406657844781876
689,0.11404553800821304
