band_id,segment,reflectance
blue,vnir,0.07098865894886633
green,vnir,0.0875872787660093
red,vnir,0.10153350695248549
nir,vnir,0.1261397489019467
swir1,swir,0.194810874871852
swir2,swir,0.22485878880268634
