band_id,segment,reflectance
blue,vnir,0.07501366081047058
green,vnir,0.07722688590437135
red,vnir,0.07809985127674339
nir,vnir,0.052153476939202935
swir1,swir,0.0674653836190058
swir2,swir,0.07021891708160018
