band_id,segment,reflectance
ultra_blue,vnir,0.1716429099450196
blue,vnir,0.17609834699223037
green,vnir,0.18505287447191235
red,vnir,0.1918002204296173
nir,vnir,0.202428471804205
swir1,swir,0.3213204091112602
swir2,swir,0.30113516550429137
