band_id,segment,reflectance
ultra_blue,vnir,0.05883135093338585
blue,vnir,0.07184150055142985
green,vnir,0.10534875750210516
red,vnir,0.05808538460014102
nir,vnir,0.4520505823690382
swir1,swir,0.38448554855140626
swir2,swir,0.2969588769909604
